Title,Status,Genres,Updated,View,Rating
Peerless Battle Spirit,Ongoing,"Action, Adventure, Fantasy, Martial arts","Feb 21,2024 - 01:10 AM",61.1M,
Schrödinger's Sheep,Ongoing,"Action, Comedy, Drama, Fantasy, Shounen, Slice of life, Webtoons","Feb 21,2024 - 01:08 AM",8.1K,
Ousama Ranking,Ongoing,"Comedy, Fantasy, Shounen","Feb 21,2024 - 01:05 AM",16M,
Kyokutou Chimeratica,Ongoing,"Action, Adventure, Fantasy, Martial arts, Seinen","Feb 21,2024 - 00:47 AM",656K,
The Archmage's Restaurant,Ongoing,"Action, Adventure, Comedy, Cooking, Fantasy, Slice of life, Isekai","Feb 21,2024 - 00:45 AM",2.5M,
The Civil Servant Hunter’S S-Class Resignation Log,Ongoing,"Romance, Manhwa","Feb 21,2024 - 00:42 AM",67.9K,
I Am The Final Boss,Action - Adventure - Comedy - Fantasy,,"Feb 21,2024 - 00:41 AM",789.7K,
Gundam Reconguista In G,Ongoing,"Action, Adventure, Drama, Mecha, Shounen, Slice of life","Feb 21,2024 - 00:41 AM",3.8K,
Gabai,Ongoing,"Comedy, Historical, Seinen, Slice of life","Feb 21,2024 - 00:35 AM",28.8K,
The Bad Ending Of The Otome Game,Ongoing,"Fantasy, Josei, Romance","Feb 21,2024 - 00:32 AM",11.3M,
The Heavenly Demon Destroys The Lich King's Murim,Ongoing,"Action, Adventure, Fantasy, Martial arts, Shounen","Feb 21,2024 - 00:31 AM",12.9M,
"Even The Demon King, One Step At A Time",Ongoing,"Action, Adventure, Comedy, Drama, Fantasy, Mystery, Shounen, Manhwa","Feb 21,2024 - 00:30 AM",6.6M,
Turning Code,Josei - Webtoons - Yaoi,,"Feb 21,2024 - 00:29 AM",42K,
I Am The Final Boss,Ongoing,"Action, Comedy, Drama, Fantasy, Supernatural, Isekai","Feb 21,2024 - 00:13 AM",1.7M,
The Power Of The Soul,Updating,,"Feb 21,2024 - 00:12 AM",731.8K,
Omniscient Reader's Viewpoint,Ongoing,"Action, Adventure, Sci fi, Webtoons, Manhwa","Feb 21,2024 - 00:11 AM",38.2M,
